hournorain,t2mmax,t2mmean,t2mmin,tprecmax,t2m,ts,qv2m,prectot,speed,dmc,fwi,dsr,dc,isi,bui,ffmc,fcount_terra,frp_terra,fcount_aqua,frp_aqua,year,month,day
0.0242,-1.1783,-1.1557,-1.1635,-0.4144,-1.1557,-1.1131,0.3375,-0.376,0.516,-0.7045,-0.964,-0.8759,-1.5137,-0.8169,-0.9176,-0.3467,102,14.68,116,16.26,2005,6,28
1.0596,-0.2828,-0.6133,-0.8686,-0.5701,-0.6134,-0.5146,0.2709,-0.4846,-1.2017,-0.615,-1.6491,-1.677,-1.4923,-1.6503,-0.8272,0.0605,123,8.79,102,16.39,2005,6,29
1.3601,0.4672,0.3094,0.136,-0.4836,0.3094,0.1414,0.368,-0.4609,-2.1079,-0.5342,-0.8898,-0.9883,-1.4781,-0.921,-0.7459,0.1762,70,3.07,80,1.88,2005,6,30
0.9937,0.5534,0.6379,0.6274,-0.435,0.6379,0.3842,0.4347,-0.4941,-1.1263,-0.445,-0.1226,-0.2265,-1.459,-0.1092,-0.661,0.2826,23,3.34,22,1.57,2005,7,1
1.0867,0.154,0.0933,-0.096,-0.3481,0.0932,-0.0041,0.233,-0.4012,0.3877,-0.4113,0.0333,0.0462,-1.4507,0.1234,-0.6268,0.1202,38,2.97,45,4.42,2005,7,2
1.1572,-0.0662,-0.237,-0.4752,-0.4263,-0.2369,-0.2381,0.0086,-0.423,-0.1824,-0.3913,-0.5477,-0.5524,-1.4464,-0.511,-0.6071,0.0745,82,12.34,66,7.35,2005,7,3
1.1609,0.1746,-0.0552,-0.3618,-0.4076,-0.0552,-0.1471,-0.3437,-0.4054,-0.6713,-0.37,-0.5203,-0.4287,-1.4431,-0.413,-0.5926,0.1758,49,4.88,33,8.16,2005,7,4
0.9985,0.1587,0.0613,-0.0495,-0.4189,0.0613,0.0115,-0.0163,-0.4002,-0.7193,-0.2683,-0.7562,-0.7853,-1.4297,-0.7635,-0.5056,0.2288,44,2.21,55,4.13,2005,7,5
0.9239,0.1387,0.215,0.1966,-0.4053,0.215,0.165,0.3306,-0.302,-0.4899,-0.1569,-0.4141,-0.4842,-1.4207,-0.459,-0.398,0.1383,23,1.26,28,13.1,2005,7,6
1.0343,-0.0189,0.1133,0.102,-0.4185,0.1133,0.1419,0.6498,-0.3582,-0.2068,-0.091,-0.2673,-0.3434,-1.4085,-0.3229,-0.3241,0.1244,23,1.38,18,0.6,2005,7,7
1.4088,-0.1873,-0.0513,0.0483,-0.411,-0.0513,-0.1236,0.4533,-0.4381,0.215,-0.0427,0.0892,-0.0089,-1.3951,0.0268,-0.2696,0.1033,16,0.71,21,6.52,2005,7,8
