year,month,day,hlml,pblh,speed,evland,gwetprof,gwetroot,gwettop,lhland,lwland,shland,swland,tsat,tsoil1,tsoil2,tsoil3,tsoil4,tautot,h850,h500,omega500,q850,qv2m,slp,t850,t2m,tmax,tmin,t2mdew,tqv,zlcl,pr,pr7,pr15,pr30,pr60,pr90,pr180,fpc1,frp1,fpc2,frp2
2014,3,20,64.0016632,485.21048,2.71122408,0.923859,0.504841626,0.510645926,0.505266428,26.3738194,-94.0594406,41.2079201,155.524261,286.290314,286.997009,287.522827,287.840088,287.66333,2.70030975,1508.35962,5738.39209,-5.44E-03,1.82829046,5.1489768,1015.54541,285.061554,287.907837,293.66571,281.301819,274.798401,7.80208921,2409.38208,2.25E-03,2.18E-02,0.130799979,73.6847229,81.1423111,81.4480896,98.2468872,1,6.41499996,0,0.807196677
2014,3,21,63.6184883,542.051392,3.82140446,0.975003123,0.503330171,0.509211242,0.504439592,27.8338566,-93.6279602,90.1925507,212.747253,286.916779,287.625549,287.459656,287.720337,287.686066,2.50978518,1481.12903,5681.9834,9.40E-03,3.0307982,6.67543173,1013.31018,284.400452,286.854004,293.146759,284.260315,279.898193,11.9599123,1207.25854,9.88E-03,1.99E-02,8.10E-02,73.6646271,81.1521835,81.4518433,98.253891,0,0,0,0
2014,3,22,63.3300018,717.125183,3.67626476,1.0099597,0.501775026,0.507646263,0.502400279,28.8317738,-90.9275513,99.2495041,223.370087,287.390869,288.042358,287.706604,287.686462,287.700989,5.43113613,1487.68994,5679.87158,7.38E-02,3.93594527,6.87909079,1014.95935,282.991333,286.247589,292.310364,282.681488,280.703094,13.3680515,860.641174,0,1.86E-02,5.64E-02,73.6595535,81.1512222,81.4447784,98.2526169,0,0,0,0
2014,3,23,63.6291771,965.653137,3.77358294,0.953336179,0.500161052,0.505957842,0.499990225,27.2153244,-95.0509186,72.4502106,192.386292,286.766083,287.607971,287.792999,287.722656,287.714996,2.59128356,1519.12439,5716.11084,1.91E-02,3.31681943,6.44702673,1017.72162,285.296478,286.774231,292.493378,282.529907,279.603302,10.424881,1229.41565,0,1.86E-02,5.64E-02,73.6417007,81.1460724,81.4438171,98.2472382,0,0,0,0
2014,3,24,63.9652214,1434.90723,3.93068171,1.1865145,0.49856028,0.504250169,0.496768236,33.8719711,-95.7721481,86.1972122,224.543793,288.281647,288.692291,287.983246,287.744385,287.729462,2.59006071,1522.15234,5720.19482,6.06E-02,3.36313152,6.63706541,1016.95557,287.500153,288.37204,293.404755,282.190002,279.87561,13.5103788,1442.18933,1.98E-03,1.86E-02,5.70E-02,73.6096954,81.1429138,81.4426956,98.1959381,0,0,0,0
2014,3,25,63.9151955,1350.83484,4.64271402,1.09648907,0.496643603,0.502090096,0.492588133,31.3019714,-103.05584,100.971909,233.376312,287.649323,288.767181,288.451935,287.873291,287.747681,1.13908958,1496.16394,5706.96631,0.117354773,2.87845159,6.69796801,1013.76752,287.911346,288.019287,294.768463,283.656677,279.836365,12.1341629,1416.50793,7.88E-02,9.41E-02,0.135177508,73.6609039,81.2216873,81.5001755,98.2658844,0,0,0,0
2014,3,26,63.160614,745.552917,8.07247353,1.19348681,0.495516777,0.501053929,0.497781396,34.0710106,-80.5784149,112.664719,215.950409,285.880493,288.004944,288.355896,287.985077,287.773285,51.6867676,1453.21143,5621.94434,0.230214313,4.84098816,7.20694065,1011.98901,279.026459,285.525024,293.745148,283.492828,281.296814,14.0370464,677.097046,0.44431299,0.537194371,0.579490483,74.059967,81.6534119,81.9292145,98.707695,3,48.9020004,0.477121264,1.68932664
2014,3,27,63.0016289,768.147888,6.83028603,1.07582784,0.495121211,0.50095284,0.496726006,30.7121468,-93.3535233,96.9371796,218.693787,285.00235,286.387634,287.328247,287.923248,287.799194,35.5275955,1472.22498,5641.40137,0.201808795,3.9638443,6.33541679,1014.79987,277.429565,284.725983,290.680786,282.987122,279.279724,12.6094227,894.81311,0,0.534941018,0.579490483,74.034668,81.5890732,81.9235687,98.6973572,0,0,0,0
2014,3,28,63.3843193,592.025818,4.76651812,0.991677225,0.493535787,0.499111533,0.490642458,28.3098621,-100.167412,76.6832047,208.734726,286.167664,286.809235,287.016083,287.721649,287.811523,3.29935026,1513.52649,5717.37402,0.200264052,3.7175467,6.17199898,1018.15002,280.758453,285.835175,289.993896,281.025269,278.827362,12.782177,1193.26416,0,0.525065422,0.556776583,73.8807068,81.5881119,81.9230652,98.6957016,2,11.9869995,0.30103001,1.07871044
2014,3,29,63.992691,493.877991,4.34287643,1.06177926,0.491939306,0.497266948,0.487156063,30.3110962,-94.5509338,78.098877,206.748993,287.133026,287.830139,287.463501,287.618683,287.810913,0.895950794,1527.82666,5746.68066,5.56E-02,3.31027794,6.37064695,1017.73773,286.165894,288.127197,293.110626,280.643494,279.19339,13.4813004,1549.84143,0,0.525065422,0.544925869,56.1524315,81.5881119,81.9105759,98.6941147,0,0,0,0
