year,month,day,hlml,pblh,speed,evland,gwetprof,gwetroot,gwettop,lhland,lwland,shland,swland,tsat,tsoil1,tsoil2,tsoil3,tsoil4,tautot,h850,h500,omega500,q850,qv2m,slp,t850,t2m,tmax,tmin,t2mdew,tqv,zlcl,pr,pr7,pr15,pr30,pr60,pr90,pr180,fpc1,frp1,fpc2,frp2
2002,10,1,63.0353966,926.16217,5.110219,0.309930623,0.445867866,0.441646725,0.16573365,8.84779072,-103.937325,98.6676559,188.927368,283.6604,286.844849,289.413147,291.974609,292.606293,9.43792248,1467.16626,5642.31494,5.41E-02,4.38108253,4.97324133,1012.0943,282.629425,284.482178,294.439117,281.044525,274.719025,9.31848049,1447.98083,0.134034306,0.829236686,1.20510364,2.77632451,3.93016386,6.64005518,56.1519852,23,491.360962,1.36172783,2.69140077
2002,10,2,62.7864037,959.288818,6.53586292,0.203161344,0.446196854,0.442125112,0.174892545,5.81877375,-118.120178,94.9701157,206.563141,282.768005,285.630035,288.05368,291.269409,292.470184,4.31540489,1474.95874,5600.9917,0.366839856,2.36146832,3.00791574,1014.16888,282.105682,283.746918,292.592926,278.13385,268.233429,6.67158031,2206.10645,3.70E-02,0.787675261,1.20028448,2.76825356,3.93670058,6.64243507,54.9934464,0,0,0,0
2002,10,3,63.3714561,740.75885,4.22778368,9.75E-02,0.446199596,0.442127049,0.174895063,2.78525877,-125.57177,82.0201035,205.980591,284.171387,285.689423,287.416077,290.570282,292.299042,1.65E-02,1499.19897,5737.37012,0.279256672,1.75047922,2.09088755,1013.97797,284.324066,285.489777,291.930634,277.213867,263.972015,6.66803074,3153.03052,3.51E-02,0.741446197,1.18482316,2.78390121,3.94953513,6.66003799,52.6258926,29,810.080994,1.46239805,2.90852833
2002,10,4,64.0321121,867.802002,3.08780241,0.15541321,0.446119457,0.442006528,0.172713265,4.43671513,-104.212929,85.3916855,196.761063,286.94165,287.55249,287.868896,290.067963,292.103302,4.36257362,1499.20874,5746.81396,4.99E-02,2.58070707,3.06351352,1013.08276,286.394379,288.457062,295.639069,278.537994,268.260681,12.246582,2991.62988,0.112221718,0.614006221,1.25599062,2.62860823,4.00321484,6.74022865,52.4035492,3,86.897995,0.477121264,1.93900979
2002,10,5,64.4870605,768.10022,3.63736749,0.117075391,0.446112633,0.44199574,0.172689646,3.34220219,-108.529976,81.5013351,198.429337,288.368042,288.908783,288.734314,289.895081,291.904907,0.510890365,1517.85791,5782.32715,0.16006951,4.06658268,4.28476572,1014.03174,288.803436,289.816498,297.154022,281.662201,273.006073,11.9612484,2600.31104,1.07E-02,0.424110174,1.21405435,2.46862006,3.9987247,6.73088503,51.6181183,9,415.684998,0.954242527,2.6187644
2002,10,6,64.9092102,712.989319,4.26297998,0.151881337,0.446098715,0.441972047,0.172509462,4.33582544,-115.726433,67.948082,197.931274,290.067413,290.462128,289.656128,289.960144,291.723969,1.36E-03,1544.51526,5860.57715,9.58E-02,3.745157,4.10618258,1015.32874,291.183807,291.643677,299.505066,282.968689,272.660278,11.4837132,2936.47021,5.98E-02,0.444753677,1.22809577,2.27346802,4.03962326,6.75630236,47.784111,19,621.655029,1.27875364,2.79354954
2002,10,7,65.4297638,731.539062,4.07500219,8.97E-02,0.446027577,0.441867828,0.170770764,2.56079221,-118.547005,67.2904968,197.206528,291.413818,291.825623,290.713562,290.21933,291.573029,0,1549.7417,5882.32666,5.92E-02,3.37445164,3.71986508,1014.90399,293.645966,293.476807,302.456085,284.183136,271.327698,9.71367931,3438.84277,5.05E-02,0.439368933,1.23238659,2.22746778,4.06771803,6.77364492,47.6789589,2,34.4249992,0.30103001,1.53687394
2002,10,8,65.4858704,692.848022,4.12528753,9.78E-02,0.445896804,0.441680163,0.16738531,2.79318237,-124.72448,63.9375534,197.055847,291.519745,292.305359,291.429077,290.581207,291.459625,3.51E-04,1518.52637,5854.26074,7.73E-02,3.15299439,3.33296084,1011.18085,294.332581,293.8461,303.494537,286.044403,269.61676,7.89361,3712.84277,6.25E-02,0.367867023,1.26288712,2.16473484,4.06903887,6.82196617,45.0877533,6,104.852005,0.778151274,2.02057672
2002,10,9,65.2790985,768.685486,3.36244917,7.83E-02,0.44577089,0.44149974,0.164145201,2.23432946,-113.854538,61.8173866,174.33049,290.427734,291.619385,291.575867,290.9086,291.382141,0.657656431,1507.34778,5827.27734,9.59E-03,3.07414842,3.62748075,1010.55127,293.661255,293.115875,303.688141,286.446014,270.210388,7.87468386,3497.10156,7.33E-02,0.404095352,1.27038002,2.1706953,4.11387539,6.73070097,44.8573189,0,0,0,0
2002,10,10,64.6572571,654.567017,4.18956852,3.72E-02,0.445675671,0.441363871,0.161756143,1.0620389,-83.8433685,54.0266342,128.486603,288.853668,291.154053,291.394196,291.08374,291.32959,5.7872467,1497.19434,5800.29346,-5.61E-02,3.89143801,4.75690031,1010.61407,291.036133,290.856537,302.263947,286.519867,273.744781,12.4203453,2601.979,0.296686411,0.665666699,1.48845696,2.40235758,4.39184618,6.33666897,44.7655258,3,42.7279968,0.477121264,1.63071251
2002,10,11,63.8757591,598.562134,3.89316273,8.11E-02,0.445638835,0.441313714,0.160979241,2.31478119,-85.8814697,60.4683762,139.493332,287.193054,289.274567,290.473511,291.076813,291.288666,4.62190199,1499.33838,5777.93018,2.81E-02,4.4788394,5.99754286,1012.71008,287.372162,287.986725,299.598145,285.326843,277.123016,12.6985989,1602.93396,8.54E-02,0.638877988,1.49254584,2.42686892,4.45358419,5.90992832,44.4313622,15,331.450989,1.17609131,2.52041936
2002,10,12,64.2263641,690.744873,4.04521894,0.127265573,0.445608467,0.441273242,0.160365835,3.6331079,-96.8794098,48.880127,148.860901,287.487701,288.6427,289.602722,290.844879,291.242737,2.77457309,1546.69385,5819.29785,-3.66E-02,3.51344538,4.02217627,1017.46393,289.278107,288.878265,296.490021,282.744751,271.089447,10.7154198,2712.98413,5.07E-02,0.67893368,1.30359793,2.4224813,4.49394464,5.87466908,44.281868,3,68.1029968,0.477121264,1.83316624
2002,10,13,64.7102051,790.718079,3.64418387,0.10890083,0.445576936,0.441230893,0.159638956,3.10884142,-100.539093,45.4252129,147.772034,288.294281,289.390289,289.704895,290.606903,291.183258,1.67124653,1560.68506,5835.27148,1.12E-02,2.64715743,3.27400589,1018.29999,291.456604,290.394379,299.064606,282.671722,268.976318,9.98169041,3353.87744,0.151320755,0.770502508,1.25436473,2.50884295,4.63305759,5.98124504,44.3539391,7,149.449005,0.845098019,2.17449307
2002,10,14,64.7173309,727.30011,3.70581222,5.16E-02,0.445517063,0.441145837,0.158085495,1.47293997,-94.6987534,46.4262924,142.328293,288.619324,289.704651,289.860321,290.478455,291.117279,2.29955077,1534.48022,5817.90674,-1.97E-02,2.73600674,3.19202089,1015.0564,292.083221,290.685211,299.854614,283.551025,268.628632,9.15491581,3363.2854,0.185685992,0.905648649,1.40094233,2.60737586,4.79553843,6.13872051,44.1404037,2,408.173004,0.30103001,2.61084437
2002,10,15,64.4007416,903.273865,4.10460377,4.21E-02,0.445446253,0.441045791,0.15632914,1.202685,-109.318253,70.2665253,173.899078,287.273376,289.020721,289.748505,290.407166,291.051239,0.447919995,1503.56934,5772.38281,-0.149282575,3.14263368,3.93206024,1012.32782,290.999359,289.42749,299.866058,285.070099,271.018005,9.70154476,2808.64746,5.19E-02,0.894973814,1.39687502,2.5132966,4.82553005,5.93791914,43.8630867,13,333.364014,1.11394334,2.5229187
2002,10,16,63.8137245,1270.18652,4.47002745,3.75E-02,0.445388079,0.440963745,0.154949188,1.06985652,-105.572464,77.5245438,173.37471,285.81192,288.097076,289.242828,290.266968,290.984802,1.24294114,1476.11316,5715.76807,-0.185405374,4.18574381,4.46369267,1010.76617,287.624634,287.377869,298.662445,282.56546,272.371246,11.579381,2239.59717,8.94E-02,0.911106408,1.3522495,2.55735302,4.87667084,5.78491831,43.6357498,1,13.9219999,0,1.14370167
2002,10,17,63.7157669,674.992737,5.01785564,3.86E-02,0.44533509,0.440889657,0.153746784,1.10205948,-108.172073,71.529007,175.115616,285.471893,287.45108,288.558533,290.01886,290.911346,1.08768022,1471.80286,5725.52686,0.151987344,3.64063263,4.55019331,1010.02203,288.080109,286.816467,296.272675,280.550232,272.378235,11.644701,2184.53198,8.53E-02,0.699744642,1.4005264,2.60081053,4.93691778,5.85452175,43.6414375,30,911.048035,1.47712123,2.95954132
2002,10,18,63.6904526,520.991638,3.81869292,4.20E-02,0.445288509,0.440825075,0.152724236,1.19842386,-100.385872,60.1036301,150.098495,284.801514,286.695526,288.122101,289.733948,290.82608,1.05434048,1487.00391,5763.83008,3.54E-02,3.87038183,4.81205225,1011.45984,287.280884,286.435303,296.391754,280.296722,273.250427,9.00323772,2042.36597,2.21E-02,0.636397541,1.38749719,2.57232022,4.93353367,5.8338604,43.6508369,4,63.2190018,0.60206002,1.80084765
2002,10,19,63.8389969,636.781372,3.16609502,8.64E-02,0.445296705,0.440840513,0.153239518,2.46522999,-98.1389465,70.1358261,169.120972,285.617004,286.85556,287.678558,289.412567,290.728149,1.77465522,1498.39941,5751.69189,-6.90E-03,4.21161747,4.79956293,1013.1488,286.869232,287.691162,295.20575,280.552032,273.028168,10.2225409,2194.14893,2.24E-02,0.608057857,1.29764962,2.55364013,4.92791462,5.80696869,43.3312531,9,89.6640015,0.954242527,1.95261812
2002,10,20,63.9212761,714.441895,3.68052101,6.76E-02,0.445299268,0.440847337,0.153588086,1.92927539,-105.203735,63.1583023,165.201538,285.54071,286.902252,287.731781,289.172729,290.619843,9.03E-02,1491.39197,5739.16797,3.50E-02,4.13560104,4.84037638,1012.20135,287.79895,287.318817,296.273285,281.94281,273.809753,10.3859062,2113.0354,2.19E-02,0.478640139,1.30889452,2.52294898,4.92253542,5.79031038,42.7204704,2,15.9370003,0.30103001,1.20240653
2002,10,21,63.78302,671.736206,3.5584898,4.70E-02,0.445284128,0.440828949,0.153386682,1.34080267,-107.738846,70.1783676,169.545807,284.80661,286.41684,287.524933,288.98172,290.507812,0.250008136,1472.68835,5706.80762,1.37E-02,3.95415807,4.4397521,1010.34259,286.212311,286.562225,296.4216,281.039459,273.144897,8.47578144,2111.77563,1.16E-02,0.304546684,1.26073527,2.48883104,4.89602852,5.75255871,41.1143074,10,137.609009,1,2.13864684
2002,10,22,63.3352966,777.92157,4.24059153,2.46E-02,0.445266247,0.440805912,0.153022975,0.700900257,-101.787834,71.539505,163.527893,283.808228,285.633484,287.015656,288.753418,290.392548,0.591171682,1473.76172,5671.54932,0.107437491,4.22424078,4.97105312,1011.86224,284.403107,284.926605,294.691345,280.2052,274.749939,10.2846708,1602.34094,2.31E-02,0.275787026,1.23329329,2.46567965,4.87972689,5.76349497,39.0997086,8,102.177002,0.90309,2.00935316
2002,10,23,63.105175,735.235535,3.77831364,2.65E-02,0.445260584,0.44080013,0.153028533,0.755572259,-97.6149063,65.8799591,151.620773,282.844879,284.774902,286.421021,288.464661,290.27063,1.1176455,1490.00684,5686.67773,2.52E-02,3.75607848,4.91263819,1014.33423,283.900482,284.140228,293.32312,278.927063,274.715057,9.32143116,1471.4469,2.40E-02,0.210418537,1.19480097,2.45768785,4.86175776,5.76887465,35.6892433,1,12.8240004,0,1.10802352
2002,10,24,62.8017426,746.471741,3.49938774,2.07E-02,0.445245951,0.440780669,0.152763948,0.592283309,-91.6197815,52.177681,127.731796,281.619324,283.56665,285.638489,288.1026,290.138184,1.718413,1482.40674,5671.89111,5.78E-02,3.3396039,4.54922581,1014.07501,282.280762,282.735565,291.968658,278.878754,273.531433,8.18005848,1449.24365,1.71E-02,0.142155692,1.13858664,2.40896678,4.83820724,5.75584507,35.6727409,14,171.020996,1.14612806,2.23304939
2002,10,25,62.8294449,759.275024,3.13284063,5.05E-02,0.445236593,0.440768242,0.152643859,1.44297814,-83.0589142,58.9101105,137.895279,282.295929,283.567688,285.003448,287.665558,289.990631,4.65870619,1456.20361,5628.88281,-5.94E-02,4.17788696,4.36855555,1011.30939,280.295471,283.115173,290.479645,277.264069,272.642914,10.4978704,1601.15503,9.01E-02,0.210215479,0.932046056,2.42050314,4.89784813,5.8090148,35.6319466,15,353.998993,1.17609131,2.54900193
2002,10,26,62.9179726,793.284851,3.73924565,3.40E-02,0.445229143,0.44075954,0.152570635,0.969301939,-89.9403305,61.8826523,144.785858,282.157715,283.625854,284.9758,287.313965,289.829498,7.71831322,1445.77014,5606.37549,5.96E-02,4.300385,4.62970591,1010.065,281.487915,283.273132,290.476288,278.44043,273.692993,12.2078972,1506.50232,9.54E-03,0.197378621,0.856150329,2.34869599,4.81359482,5.80047894,34.3434448,32,419.410034,1.50514996,2.6226387
2002,10,27,63.0278931,685.875366,3.71126366,1.96E-02,0.445221841,0.440751135,0.152483895,0.558419466,-95.9446259,63.4118729,157.776855,282.813934,283.819183,284.821655,287.033813,289.66272,2.64728498,1477.43372,5652.13379,0.176681712,4.18615055,4.64026403,1013.20203,282.90036,283.75473,290.6745,277.356049,273.858154,10.9954596,1545.17322,2.44E-02,0.199893221,0.829854131,2.13345194,4.71037626,5.80287504,33.9505882,5,119.625,0.69897002,2.07782197
2002,10,28,63.4097328,582.158325,3.5836668,4.49E-02,0.445208818,0.440734267,0.152252302,1.28289104,-95.6615982,60.819561,154.402237,283.444305,284.45108,285.10672,286.853394,289.495667,1.10866261,1503.08032,5727.19141,0.15728648,3.47484899,3.81688261,1014.81299,284.411072,285.284332,293.104614,277.33963,271.033112,9.19193745,2189.09814,3.37E-02,0.222023278,0.712255895,1.96662068,4.67402077,5.80997229,33.3446159,4,40.9049988,0.60206002,1.61177635
2002,10,29,63.1803284,647.605713,4.18058777,2.58E-02,0.445186019,0.440703005,0.151747063,0.737495542,-102.647949,63.9193382,156.172607,281.98349,283.638306,284.992554,286.75061,289.335815,0.176688597,1471.71008,5693.47998,0.169081867,2.70322275,3.66633606,1011.39374,284.247925,283.862,293.593781,279.030731,270.274567,8.95694828,2137.45337,1.39E-02,0.212863997,0.540508687,1.94145095,4.62832594,5.8139987,33.2460442,8,294.184998,0.90309,2.46862054
2002,10,30,63.0725708,582.509094,3.7913661,2.79E-02,0.445168197,0.440679222,0.15139991,0.797331333,-101.249519,60.1264381,154.009918,281.784698,283.213776,284.522888,286.573059,289.181885,7.66E-02,1463.91846,5688.17041,0.187271699,3.56590223,3.81421208,1010.38989,283.246185,283.498291,291.992004,277.939941,271.063293,9.44302845,1964.08069,1.09E-02,0.199704751,0.499532014,1.89640713,4.61274385,5.74524784,33.1700745,26,748.748047,1.41497338,2.87433577
2002,10,31,63.0061378,537.433594,3.54230785,3.43E-02,0.445150137,0.440654755,0.151027575,0.979499876,-107.631721,54.712635,153.593826,281.399353,282.818298,284.219635,286.358398,289.028625,0.10683281,1477.26379,5703.36377,9.25E-02,2.71729827,3.26196432,1011.98047,283.048462,283.195831,291.615936,277.737061,268.509369,7.83110857,2303.03906,0.225844368,0.40848729,0.635967612,1.98821712,4.76454163,5.91838074,33.2855339,22,796.875,1.34242272,2.90139031
